idiom	alts
keys_to_the_kingdom	"[""keys of the kingdom""]"
kick_in_the_pants	"[""kick in the rear""]"
kick_in_the_teeth	[]
kick_the_bucket	[]
kick_the_can_down_the_road	[]
kick_the_habit	[]
kick_the_tires	"[""kick the tyres"", ""kick the wheels""]"
kick_up_one's_heels	[]
kicking_and_screaming	[]
killer_instinct	[]
kindred_spirit	[]
king_of_the_hill	[]
kiss_and_make_up	[]
knife-edge	"[""knife edge"", ""knife's edge"", ""knife's-edge""]"
knight_in_shining_armor	"[""knight in shining armour""]"
knock_someone's_socks_off	[]
know_no_bounds	[]
know_one's_way_around	[]
know_the_score	[]
know_where_one_stands	[]
labour_of_love	[]
laced-up	[]
ladies_and_gentlemen	[]
land_of_opportunity	[]
land_on_one's_feet	"[""fall on one's feet""]"
larger_than_life	[]
last_thing_one_needs	[]
last-ditch	"[""last ditch""]"
laugh_a_minute	[]
laughing_stock	"[""laughingstock"", ""laughing-stock""]"
law_of_the_jungle	[]
lay_down_the_law	[]
lay_of_the_land	[]
lay_the_groundwork	[]
leader_of_the_free_world	[]
leaps_and_bounds	[]
leave_no_stone_unturned	[]
left_and_right	"[""right and left"", ""left, right and center"", ""left, right and centre"", ""right, left and center"", ""right, left and centre""]"
legally_binding	[]
lend_itself_to	[]
lesser_of_two_evils	[]
let_bygones_be_bygones	[]
let_nature_take_its_course	"[""let nature take her course"", ""let nature take its course""]"
let_one's_hair_down	[]
let_someone_go	[]
let_someone_have_it	[]
let_the_cat_out_of_the_bag	[]
let_the_chips_fall_where_they_may	"[""let the dice fall where they may""]"
let_them_have_it	[]
let-down	"[""letdown""]"
level-headed	"[""level headed"", ""levelheaded""]"
licence_to_print_money	"[""license to print money""]"
lick_one's_wounds	[]
life_and_soul_of_the_party	[]
life_is_too_short	[]
life_of_the_party	[]
life-or-death	"[""life-and-death"", ""life or death""]"
light_a_fire_under	[]
light_at_the_end_of_the_tunnel	[]
light_on_one's_feet	[]
lightning_fast	"[""lightning-fast""]"
lightning_in_a_bottle	[]
lightning-quick	[]
lily-livered	[]
